127.0.0.1 - - [17/May/2025:14:27:50 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [17/May/2025:14:27:51 +0530] "GET /_Spare_parts_Management_Systems/Login.jsp HTTP/1.1" 200 4525
0:0:0:0:0:0:0:1 - - [17/May/2025:14:27:51 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [17/May/2025:14:27:54 +0530] "POST /_Spare_parts_Management_Systems/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/May/2025:14:27:54 +0530] "GET /_Spare_parts_Management_Systems/Login.jsp?error=invalid HTTP/1.1" 200 4799
0:0:0:0:0:0:0:1 - - [17/May/2025:14:28:01 +0530] "POST /_Spare_parts_Management_Systems/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/May/2025:14:28:01 +0530] "GET /_Spare_parts_Management_Systems/Login.jsp?error=invalid HTTP/1.1" 200 4799
0:0:0:0:0:0:0:1 - - [17/May/2025:14:28:24 +0530] "GET /_Spare_parts_Management_Systems/GetAllServlet HTTP/1.1" 200 11276
0:0:0:0:0:0:0:1 - - [17/May/2025:14:28:26 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [17/May/2025:14:28:29 +0530] "GET /_Spare_parts_Management_Systems/Admin/update.jsp?id=22&name=Lakvidu%20Upasara&address=1234,%20kaduwela%20malabe&contactnumber=0712345678&email=lakvidu@gmail.com&password=12345678&userRole=Stock%20Manager HTTP/1.1" 200 6410
0:0:0:0:0:0:0:1 - - [17/May/2025:14:28:38 +0530] "POST /_Spare_parts_Management_Systems/UpdateServlet HTTP/1.1" 200 89
0:0:0:0:0:0:0:1 - - [17/May/2025:14:28:39 +0530] "GET /_Spare_parts_Management_Systems/GetAllServlet HTTP/1.1" 200 11276
0:0:0:0:0:0:0:1 - - [17/May/2025:14:28:50 +0530] "GET /_Spare_parts_Management_Systems/Login.jsp HTTP/1.1" 200 4525
0:0:0:0:0:0:0:1 - - [17/May/2025:14:28:50 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [17/May/2025:14:29:08 +0530] "POST /_Spare_parts_Management_Systems/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/May/2025:14:29:09 +0530] "GET /_Spare_parts_Management_Systems/item-list HTTP/1.1" 200 25460
0:0:0:0:0:0:0:1 - - [17/May/2025:14:29:09 +0530] "GET /_Spare_parts_Management_Systems/Uploads/1747311711927_WhatsApp%20Image%202025-05-15%20at%2017.28.39_cbb9f293.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2025:14:29:09 +0530] "GET /_Spare_parts_Management_Systems/Uploads/1747311722721_WhatsApp%20Image%202025-05-15%20at%2017.28.37_75b4e6fa.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2025:14:29:09 +0530] "GET /_Spare_parts_Management_Systems/Uploads/1747311762274_WhatsApp%20Image%202025-05-15%20at%2017.28.39_cbb9f293.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2025:14:29:09 +0530] "GET /_Spare_parts_Management_Systems/Uploads/1747311742137_WhatsApp%20Image%202025-05-15%20at%2017.28.38_b66a1cfe.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2025:14:29:09 +0530] "GET /_Spare_parts_Management_Systems/Uploads/1747311734521_WhatsApp%20Image%202025-05-15%20at%2017.28.38_de8a4dbb.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2025:14:29:09 +0530] "GET /_Spare_parts_Management_Systems/Uploads/1747317341480_WhatsApp%20Image%202025-05-15%20at%2017.28.38_18fd18d9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2025:14:29:09 +0530] "GET /_Spare_parts_Management_Systems/images/battery.jpg HTTP/1.1" 404 810
